Tamil Word|Tamil|English
வணக்கம்|Vaṇakkam|Hello
நன்றி|Naṉṟi|Thank you
பிரசாதம்|Pirasātham|Food
அணுகு|Aṇuku|Enter
வெளியே|Veḷiyē|Exit
எழுது|Eḻutu|Write
படிக்க|Paṭikka|Read
செல்|Cel|Call
உதவி|Uthavi|Help
பார்|Pār|See
சொல்|Sol|Speak
கேட்க|Kēṭka|Listen
தமிழ்|Tamiḻ|Tamil
அரசியல்|Arasiyal|Politics
படம்|Paṭam|Movie
பெண்|Peṇ|Woman
ஆண்|Āṇ|Man
பேசு|Pēcu|Talk
சந்திக்க|Santikkā|Meet
பணம்|Paṇam|Money
வேலை|Vēlai|Work
வாங்க|Vāṅga|Buy
விற்க|Viṟka|Sell
சிறுமி|Ciṟumi|Child / Girl
மாபெரும்|Māperum|Adult / Boy
நேர்|Nēr|Time
விளையாடு|Viḷaiyāṭu|Play
பொழுது|Pozhudu|Moment / Time
வெற்றி|Veṟṟi|Victory / Success
பழம்|Paḻam|Fruit
காலம்|Kālam|Time
மனம்|Maṉam|Mind / Heart
நடக்க|Naṭakka|Walk
ஓடு|Ōṭu|Run
வார்த்தை|Vārttai|Word
அமைப்பு|Amaippu|Arrangement / Organization
பயன்|Payan|Use / Benefit
பொது|Pothu|General / Common
அணி|Aṇi|Group / Team
நகைச்சுவை|Nakaiccuvai|Entertainment / Fun
உள்ளது|Uḷḷathu|Inside
வெளியே|Veḷiyē|Outside
விடு|Viṭu|Leave
மற்றும்|Maṟṟum|And
ஆகும்|Ākum|Is / Are
விடும்|Viṭum|Will leave
வந்து|Vantu|Came
பின்னும்|Piṉṉum|Also / Furthermore
பின்|Piṉ|Behind / After
முன்|Muṉ|Front / Before
மேல்|Mēl|Above
கீழ்|Kīḻ|Below
நீளம்|Nīḷam|Length
அகலம்|Akalam|Distance
பகுதி|Pakuthi|Part / Portion
மொத்தம்|Motham|Total
உடன்|Uṭaṉ|With
இல்லை|Illai|No
அதிகம்|Adhigam|More
குறைவாக|Kuṟaivāka|Less
சில|Cila|Some
மிகுந்த|Mikuntha|Very / Much
இலவச|Ilavasa|Free
சமூக|Samūka|Society / Community
குழு|Kuḻu|Group
உடல்|Uṭal|Body
தலை|Talai|Head
கை|Kai|Hand
கால்|Kāl|Leg
வாய்|Vāy|Mouth
முகம்|Mukam|Face
கண்|Kaṇ|Eye
மூக்கு|Mūkku|Nose
செவி|Sevi|Ear
பை|Pai|Shoulder
தலைவு|Talaivu|Leader
அரசாங்கம்|Arasāṅgam|Government
அரசி|Arasi|Queen / King
சிறந்த|Ciṟanta|Best / Excellent
மிக|Mika|Very
தவறான|Tavaṟāṉa|Wrong / Incorrect
சரி|Sari|Correct / Alright
அழகு|Azagu|Beauty
நலம்|Nalam|Good health / Well-being
மீன்|Mīṉ|Fish
படகு|Paṭaku|Boat
வண்டி|Vaṇṭi|Vehicle
வீடு|Vīṭu|Home
மரம்|Maram|Tree
பூ|Pū|Flower
மலர்|Malar|Blossom
மாடு|Māṭu|Cow
பாத்திரம்|Pāttiram|Plate / Dish
கப்|Kap|Cup
தட்டு|Taṭṭu|Chair
மழை|Mazhai|Rain
விமானம்|Vimāṉam|Airplane
வேலை|Vēlai|Work
மாலை|Mālai|Evening
பாடல்|Pāṭal|Song
கேள்|Kēḷ|Listen
நாள்|Nāḷ|Day
இரவு|Iraṉu|Night
உறவு|Uṟavu|Relationship
மாதம்|Mātham|Month
வாரம்|Vāram|Week
நாட்கள்|Nāṭkaḷ|Days
வருடம்|Varuṭam|Year
அமாவாசை|Amāvācai|New Moon
பூசணி|Pūcaṇi|Flower Garland
சனிக்கிழமை|Caṉikkizhamai|Saturday
ஞாயிறு|Ñāyiṟu|Sunday
திங்கள்|Tiṅkaḷ|Monday
